0.4699	1.532
0.6472	14.891
0.5914	1.569
0.4497	15.678
0.5606	31.496
0.455	42.659
0.6613	27.333
0.6295	23.131
0.6569	34.717
0.5133	17.045
0.6206	39.682
0.6795	38.757
0.665	31.733
0.6848	22.189
0.5626	23.469
0.4869	17.354
0.3862	13.321
0.5646	12.315
0.705	20.449
0.495	0.374
0.6359	18.018
0.5028	15.153
0.4869	21.712
0.429	29.62
0.6509	10.653
0.5706	16.197
0.6347	31.319
0.4474	24.925
0.5894	27.24
0.4772	37.348
0.3993	32.879
0.5702	38.173
0.4989	24.278
0.5472	37.851
0.4226	1.872
0.5169	20.429
0.4279	11.548
0.5954	20.48
0.5694	26.741
0.3441	36.258
0.5762	13.96
0.6549	4.9
0.6235	10.796
0.6682	22.448
0.5738	18.502
0.6904	17.253
0.6428	11.431
0.6496	30.372
0.6585	21.537
0.6779	18.35
0.5982	38.622
0.429	18.641
0.348	33.671
0.5766	30.03
0.613	21.665
0.4085	13.607
0.684	17.089
0.6642	21.366
0.4765	26.5
0.5874	25.637
0.5086	42.246
0.6916	30.462
0.452	17.575
0.3372	20.167
0.6678	32.307
0.5235	37.057
0.3203	1.712
0.6638	21.326
0.5302	22.888
0.5365	12.217
0.5165	25.602
0.642	19.57
0.5184	31.901
0.6949	19.754
0.4384	39.804
0.5255	11.095
0.5047	41.146
0.7025	1.175
0.6396	23.778
0.6428	36.913
0.7046	49.379
0.6678	25.364
0.3964	10.104
0.4437	15.472
0.6319	38.393
0.533	8.865
0.6807	2.934
0.6803	11.652
0.548	35.915
0.4888	34.068
0.6206	16.625
0.6307	27.609
0.455	26.101
0.6444	24.021
0.6054	23.051
0.3159	45.962
0.4915	26.121
0.4001	18.979
0.4167	1.864
0.5634	27.59
0.5822	34.241
0.4788	45.99
0.4577	10.913
0.6799	39.222
0.6307	44.623
0.5024	13.635
0.4869	15.568
0.6251	23.532
0.6674	11.569
0.6836	31.136
0.3582	32.181
0.4512	17.539
0.5802	11.976
0.648	25.117
0.5858	42.211
0.399	14.903
0.3653	29.878
0.4611	28.03
0.6634	23.701
0.6404	19.741
0.4433	16.171
0.3088	56.728
0.593	38.828
0.5762	23.83
0.5118	4.14
0.5353	29.857
0.4562	26.884
0.6739	13.802
0.642	8.698
0.5444	22.446
0.5878	23.378
0.4501	33.05
0.642	10.039
0.6223	18.987
0.465	14.707
0.2556	24.142
0.6953	19.892
0.509	37.55
0.3628	21.875
0.4331	13.436
0.2647	23.227
0.6271	27.236
0.399	41.079
0.567	39.835
0.5738	13.36
0.4403	14.995
0.5314	29.358
