,Unnamed: 0.1,Unnamed: 0,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Prot,bp_rp,abs_G,ruwe,survey,teff
81135,81135,81135,2049136254223300224,False,0.298,5603.8,4.013,8.03,0.95554733,3.28766259161328,1.1897802,Kepler,5381.9118273232925
81136,81136,81136,2049136563459471232,False,0.261,5874.6,4.074,11.26,0.8526802,3.345820459002981,0.97113246,Kepler,5674.8500536962465
81137,81137,81137,2049137594251630080,False,0.182,4855.7,4.538,24.274,1.2664251,6.263861732494618,1.041997,Kepler,4667.688627724314
81215,81215,81215,2050190548423109248,False,-0.107,5341.6,3.55,10.98,1.0284443,2.577626042862633,1.0052588,Kepler,5191.156428375138
81216,81216,81216,2050192708796263168,False,0.168,5406.9,4.489,26.82,0.95311546,5.158089981995076,0.98033893,Kepler,5388.519404666985
81217,81217,81217,2050192919245159808,True,-0.232,5932.3,4.31,18.76,0.73938274,4.302913353969908,0.9380756,Kepler,6027.999793638426
81221,81221,81221,2050232256840088960,False,0.031,5877.2,3.649,5.78,0.87486744,1.841301834006547,0.9240205,Kepler,5609.369007756188
81222,81222,81222,2050234735047928320,False,0.121,5201.1,4.479,21.78,1.0474482,5.355786890459733,1.3505954,Kepler,5143.770796214615
81224,81224,81224,2050237380747974016,False,0.052,5451.6,4.501,21.19,0.92584324,5.158104386306057,1.0115082,Kepler,5463.686204782828
81227,81227,81227,2050239751570082432,False,0.15,5969.2,4.229,16.35,0.7713871,4.00951259097296,0.99630713,Kepler,5925.1465047342535
81228,81228,81228,2050241710075252352,False,-0.024,5580.6,4.472,6.52,0.8862448,5.050135379557474,0.9891382,Kepler,5576.274870153563
81230,81230,81230,2050243909098361856,True,0.218,6228.1,4.078,6.14,0.79311466,2.954544549512086,0.9349008,Kepler,5856.685295457953
81231,81231,81231,2050245901963299328,False,0.31,4938.6,4.533,21.216,1.1589947,5.953191824373793,0.9844007,Kepler,4885.286156800191
81233,81233,81233,2050249127471618560,False,-0.073,6176.1,4.279,2.39,0.6742115,3.731982497238846,1.2653402,Kepler,6244.570693765953
81236,81236,81236,2050254457537860608,False,0.248,5566.0,4.426,18.34,0.90043736,4.8182758709324585,0.9714061,Kepler,5535.456162237264
81237,81237,81237,2050255209148960384,False,-0.116,5358.3,4.516,32.59,0.9588537,5.428594308883289,1.0884577,Kepler,5372.953243058515
81238,81238,81238,2050257412475567744,False,0.114,6288.3,4.226,5.41,0.7567167,3.4437402834975064,1.0111246,Kepler,5971.999105320956
81239,81239,81239,2050257652993785600,False,0.178,5114.4,3.606,107.24,1.1681576,3.3621980893432486,0.97143155,Kepler,4865.540137674943
81241,81241,81241,2050261810522075520,False,0.112,5795.8,4.16,20.19,0.9116554,3.974381146936695,0.97950184,Kepler,5503.559512493352
81242,81242,81242,2050262016680535808,False,-0.148,6341.1,4.201,1.21,0.5992336,3.2152879374746828,1.0957592,Kepler,6504.860740603117
81331,81331,81331,2051006764005686144,False,0.033,4947.9,4.561,35.564,1.1617136,6.093144351227927,1.0043353,Kepler,4879.403549385639
81334,81334,81334,2051010921534018304,False,0.026,5834.4,4.258,0.585,0.88456154,4.169054731950467,1.0259674,Kepler,5581.150280158921
81335,81335,81335,2051011299491171712,False,-0.18,5783.9,3.662,8.56,0.9155445,2.3628207506608376,1.0340947,Kepler,5492.577563691037
81336,81336,81336,2051011540009372288,False,-0.137,4554.8,4.599,34.717,1.4780807,7.103676436327017,1.0019255,Kepler,4322.535543287492
81337,81337,81337,2051012669581416320,False,0.058,6013.4,3.75,8.05,0.72147846,1.9362153387461325,0.9083942,Kepler,6086.561001020567
81338,81338,81338,2051012738300892416,True,-0.065,6405.3,4.197,4.41,0.5736866,3.243561870462381,0.9205577,Kepler,6596.103881667604
81339,81339,81339,2051013017478148480,False,-0.116,5619.2,4.485,21.81,0.85920525,5.110976225387812,1.0048969,Kepler,5655.463991657556
81340,81340,81340,2051014804184830080,False,-0.068,4610.0,4.603,20.449,1.3876114,6.8984989873986144,1.0224776,Kepler,4457.322286230173
81341,81341,81341,2051016419092259584,False,-0.126,4269.9,4.592,12.315,1.6416712,6.818015027576475,1.0207535,Kepler,4120.204995624565
81342,81342,81342,2051016797049427968,False,-0.043,4889.3,4.589,9.726,1.2107439,6.389951013615352,0.99421716,Kepler,4776.693245196054
81343,81343,81343,2051017003207761152,False,-0.064,6001.0,4.278,9.85,0.7142792,4.162341347860149,0.9328237,Kepler,6110.311086729847
81344,81344,81344,2051017827841550464,False,0.12,5792.4,4.02,5.56,0.95921135,3.718975969071039,0.98980296,Kepler,5371.985926444532
81345,81345,81345,2051018171439027968,False,-0.001,6336.6,4.07,1.81,0.75907993,3.1386927309613384,1.0530444,Kepler,5964.417857624462
81346,81346,81346,2051018205798742656,False,0.135,5749.1,4.314,14.0,0.95635605,4.409509756731465,1.0121162,Kepler,5379.717935846726
81348,81348,81348,2051019374029821184,False,0.144,5762.0,3.968,15.14,0.98276997,3.4573056837646696,0.9836674,Kepler,5309.015806753303
81349,81349,81349,2051019683267537024,True,-0.094,5903.7,4.395,9.35,0.7628517,4.546800821788446,0.92294055,Kepler,5952.344863263975
81351,81351,81351,2051020920217813248,False,0.017,5219.4,4.542,9.09,1.0204248,5.647979175305185,0.9721657,Kepler,5211.44480758809
81352,81352,81352,2051022599545802496,True,0.188,5783.1,3.872,22.514,0.9040117,2.9465906825848336,0.86847615,Kepler,5525.257813075959
81353,81353,81353,2051022775643711360,False,0.265,5462.7,4.367,24.84,0.97120285,4.883206890795396,0.9848174,Kepler,5339.749401606015
81354,81354,81354,2051023016161911680,False,-0.03,6058.1,4.324,1.86,0.7209406,4.168263447294379,1.0150937,Kepler,6088.3313855058295
81355,81355,81355,2051023359759323136,False,0.019,5632.3,4.016,18.21,0.97258854,3.6755857457945087,1.0329564,Kepler,5336.0488796925565
81357,81357,81357,2051027208049976320,True,0.192,4983.8,4.545,29.251,1.1260462,5.906115020701128,0.926971,Kepler,4958.147674670654
81358,81358,81358,2051029235274657280,True,-0.015,5854.4,4.322,2.92,0.7969227,4.3505188041055,1.0290985,Kepler,5844.802248526863
81359,81359,81359,2051029956829203200,False,-0.061,6103.0,4.3,7.11,0.69687366,4.033144709664448,0.9895641,Kepler,6168.204901339142
81360,81360,81360,2051031017680073984,False,0.136,5218.2,4.53,22.42,1.0533648,5.631101829232545,1.0875618,Kepler,5129.216865720611
81361,81361,81361,2051031709175938688,False,0.027,5347.6,4.529,14.59,1.0067263,5.568309964102484,1.0466875,Kepler,5246.500406616545
81362,81362,81362,2051031709175944192,False,-0.096,5190.3,4.505,14.29,1.0247946,5.552704097800152,1.268142,Kepler,5200.368267751588
81363,81363,81363,2051032465090181504,False,0.08,6178.9,4.237,5.8,0.744256,3.787380045302053,1.0695803,Kepler,6012.186171498973
81364,81364,81364,2051032636889002880,True,0.25,5335.2,3.582,40.123,1.0930595,2.750069808216921,0.9936885,Kepler,5034.019865661788
81365,81365,81365,2051032705608343168,False,0.186,6164.7,3.941,5.06,0.8323221,2.584585160063881,1.0463955,Kepler,5736.017196644675
81366,81366,81366,2051032946126550144,False,0.207,4410.8,4.58,31.319,1.5743647,7.0915129896047695,0.98115945,Kepler,4197.60046876911
81367,81367,81367,2051033255364212992,False,-0.001,6115.9,3.808,3.91,0.79500103,2.32057678750048,0.90349907,Kepler,5850.794507565364
81368,81368,81368,2051034457955133824,False,0.023,6066.6,3.998,14.42,0.7239561,2.7755769005810347,0.8711282,Kepler,6078.414123417559
81370,81370,81370,2051036897496570880,False,-0.077,5524.5,4.442,17.57,0.9414568,5.2100937121760715,1.1966987,Kepler,5420.413525070668
81371,81371,81371,2051037275453705600,False,0.02,5674.6,4.247,11.69,0.8659649,4.100625923238878,0.97609675,Kepler,5635.493821994669
81378,81378,81378,2051075620922854016,False,-0.068,5774.6,3.881,20.92,0.9194088,3.241879627238242,1.0604266,Kepler,5481.70455950804
81380,81380,81380,2051076205038451584,False,0.051,5286.9,4.492,17.11,1.0393372,5.400165771744096,1.0831654,Kepler,5163.876177246463
81381,81381,81381,2051076617355218304,False,-0.224,5845.8,4.145,24.67,0.8934984,3.926186167904003,1.0235214,Kepler,5555.3484413374335
81382,81382,81382,2051076892233181440,True,0.074,6098.7,4.156,7.18,0.7093258,3.296845926874884,1.0095952,Kepler,6126.719023301783
81383,81383,81383,2051077064031941248,False,0.007,5984.5,4.342,62.98,0.83411217,4.366635373858378,1.010762,Kepler,5730.59759951676
81386,81386,81386,2051081290279704448,False,-0.273,5575.6,4.462,18.45,0.87785625,5.050140008092672,1.0734192,Kepler,5600.643314490762
81387,81387,81387,2051081358999210368,False,0.115,5929.7,4.093,12.59,0.8290367,3.4629335169604616,1.0312141,Kepler,5745.984601990733
81388,81388,81388,2051083661101916544,False,0.077,5887.7,4.289,9.75,0.81499577,4.226046033902676,1.1058048,Kepler,5788.881217109192
81389,81389,81389,2051084210857809536,False,-0.103,5992.2,4.286,4.88,0.77482796,3.993999711955146,1.2627598,Kepler,5914.230351207345
81390,81390,81390,2051084279577236096,False,0.296,5440.1,4.391,16.75,0.9238558,4.920156003726859,1.0104339,Kepler,5469.240109668307
81391,81391,81391,2051085619607113600,True,0.107,4419.3,4.57,21.665,1.5794582,7.137031893665714,1.0148023,Kepler,4191.474304193478
81392,81392,81392,2051087028356207488,False,0.004,6265.2,4.259,4.06,0.70417786,3.64944461261776,1.0290558,Kepler,6143.828775649243
81393,81393,81393,2051090395610781696,False,0.217,6169.9,4.265,7.19,0.71527576,3.5392252909961535,0.9854815,Kepler,6107.016593673519
81394,81394,81394,2051094175181542272,False,-0.315,5831.4,4.396,12.34,0.78734493,4.569494509832831,1.0108345,Kepler,5874.755867346893
81395,81395,81395,2051094862376832640,False,-0.104,5911.1,4.3,2.36,0.8250675,4.272756600962007,1.0229768,Kepler,5758.061981667127
81397,81397,81397,2051098435789124736,False,-0.012,5699.8,4.458,12.0,0.822114,4.816848246467536,0.8608674,Kepler,5767.073907589528
81399,81399,81399,2051098882465737856,False,-0.26,5762.2,4.374,25.58,0.8037138,4.600349533441108,0.9706234,Kepler,5823.696935345792
81400,81400,81400,2051101287647613056,False,0.193,5810.9,4.357,15.19,1.0260267,4.679975876385379,0.9532466,Kepler,5197.254437967125
81401,81401,81401,2051101493806107648,False,0.056,5365.5,4.498,29.14,1.0360498,5.417070597924248,1.017451,Kepler,5172.075462494545
81402,81402,81402,2051103108713923968,False,0.03,4982.4,4.575,13.296,1.1328716,6.082290216543445,0.9922697,Kepler,4942.814799714546
81403,81403,81403,2051103898987671552,False,-0.02,6194.6,4.159,8.31,0.8669119,3.725951371432639,0.9985864,Kepler,5632.705284625097
81404,81404,81404,2051104276944815744,False,0.023,5811.6,4.376,11.37,0.7842798,4.496540640878607,0.98897606,Kepler,5884.387982523454
81405,81405,81405,2051104586182508928,True,0.058,5606.8,4.455,13.13,0.8656969,4.944297904102138,0.98696005,Kepler,5636.283386339923
81406,81406,81406,2051105307736986496,False,0.02,5695.8,4.469,14.49,0.8756809,4.991384018451841,0.9995592,Kepler,5606.991900003064
81408,81408,81408,2051106338529274240,False,-0.218,6108.6,3.543,2.94,0.72439575,1.973854323067128,0.92976725,Kepler,6076.9699203307555
81409,81409,81409,2051106372889035904,False,0.183,5462.1,4.451,26.84,0.9174719,4.884716031859355,0.99687546,Kepler,5487.14957328096
81410,81410,81410,2051106987063242880,True,-0.113,5479.2,4.502,19.83,0.9003649,5.149739096270016,0.82414037,Kepler,5535.663246721624
81412,81412,81412,2051107884717587968,False,-0.069,6234.8,4.087,5.95,0.76119614,3.1467473158054187,1.1535605,Kepler,5957.640045671259
81434,81434,81434,2051290919043679232,False,-0.028,4051.8,4.622,41.146,1.863349,7.877329998637208,1.0175233,Kepler,3909.7910094546505
81435,81435,81435,2051291606236251648,False,-0.174,5200.3,4.511,31.63,0.98233795,4.857753136260925,1.2313119,Kepler,5310.157267435554
81436,81436,81436,2051292976324527232,True,0.244,4403.4,2.858,36.913,1.5161619,1.6011114744704251,1.0903012,Kepler,4270.977639199003
81437,81437,81437,2051292980625569792,False,0.186,5581.8,4.634,23.879,1.238822,6.218499256569249,1.089569,Kepler,4720.7226863514525
81440,81440,81440,2051294767332403328,False,0.234,5683.5,4.247,23.83,1.0274801,4.279847070327589,1.046319,Kepler,5193.586581715288
81441,81441,81441,2051296931996073472,False,0.284,5149.5,4.482,18.47,1.0476913,5.390469343127942,1.0540503,Kepler,5143.1709454653355
81442,81442,81442,2051297206873964928,False,-0.189,4296.2,4.613,38.828,1.5962019,7.384389614859195,1.0499029,Kepler,4171.65547016833
81444,81444,81444,2051297894068516736,False,-0.008,6292.9,4.198,2.8,0.8313885,3.622092482389247,1.0040659,Kepler,5738.846891714549
81445,81445,81445,2051301536201015168,False,-0.171,5453.9,3.805,49.08,1.1196213,3.3962616100663325,0.9883066,Kepler,4972.695413105959
81446,81446,81446,2051305934247185408,False,0.107,6084.4,4.305,1.14,0.75239754,3.910565601050143,0.9343724,Kepler,5985.888365904277
81447,81447,81447,2051310023056025984,False,0.164,5870.3,3.936,28.67,0.9083185,2.69891150758815,0.96885043,Kepler,5513.013432138475
81448,81448,81448,2051310504092443520,False,-0.084,6319.0,4.259,3.51,0.7719202,3.9020343850211248,1.0233226,Kepler,5923.45342033277
81449,81449,81449,2051313218512126720,False,0.237,5626.4,4.257,19.16,0.87326145,4.334247852224372,0.9078951,Kepler,5614.066994322231
81450,81450,81450,2051314592901555584,False,-0.15,4528.3,4.59,34.277,1.4538326,6.29620088235048,1.0983405,Kepler,4356.91736804604
81452,81452,81452,2051317135522112128,False,0.018,6292.7,4.147,3.76,0.6917877,3.3051071755412913,1.0269219,Kepler,6185.246869321292
81453,81453,81453,2051317925796203520,True,-0.152,6118.3,3.756,5.51,0.7231293,1.7120406453714363,0.9169512,Kepler,6081.131246224566
81454,81454,81454,2051318131954665088,True,-0.13,5809.9,3.925,21.38,0.77911663,2.837650269837056,1.1830026,Kepler,5900.663534882706
81455,81455,81455,2051318544271551744,False,0.106,6255.9,4.197,4.7,0.72182846,3.4052570991455173,0.9490866,Kepler,6085.409311524621
81458,81458,81458,2051357435194745216,False,0.169,6157.7,4.218,6.18,0.7166681,3.4090463134989175,1.1435051,Kepler,6102.417400939614
81459,81459,81459,2051357680014625152,False,-0.082,6255.6,4.139,4.8,0.7593651,3.4299187427038262,0.90121555,Kepler,5963.503907047372
81460,81460,81460,2051361803183234176,True,-0.05,3833.5,4.647,13.318,2.042036,8.528246246375417,0.9605057,Kepler,3772.2967108747616
81461,81461,81461,2051362902694854272,False,0.116,5557.8,4.46,21.19,0.8988733,5.010918225723337,0.99037915,Kepler,5539.929117624673
81462,81462,81462,2051363486810494336,True,0.037,5391.4,4.49,25.94,0.9450283,5.222120346453373,0.8851236,Kepler,5410.605079696625
81463,81463,81463,2051365990767659392,False,0.149,6198.1,3.964,3.63,0.73489285,2.621268476138386,0.9199972,Kepler,6042.617246507756
81464,81464,81464,2051366029431306624,False,-0.06,5561.0,4.469,15.08,0.94295406,5.249571748501497,1.054077,Kepler,5416.297500773568
81465,81465,81465,2051366166870280320,False,-0.181,5619.5,4.499,22.85,0.8704834,5.078331156995118,1.015035,Kepler,5622.2090420227105
81466,81466,81466,2051367781777776256,False,-0.298,5894.5,3.664,1.67,0.79209995,2.1332431276079067,0.98857313,Kepler,5859.8575697251645
81467,81467,81467,2051369774642685312,False,0.099,6356.5,4.223,1.15,0.630908,3.197334156755396,0.8612933,Kepler,6393.506406007182
81468,81468,81468,2051370358758309760,False,-0.063,5598.9,4.476,28.39,0.87292767,4.9923022549074805,1.0136421,Kepler,5615.04421916472
81469,81469,81469,2051370702355713920,False,-0.012,5219.4,4.547,19.25,1.0281115,5.6168972500698064,0.96269226,Kepler,5191.99492886995
81470,81470,81470,2051371011593281280,False,0.018,6126.0,4.288,6.21,0.773201,3.986953613920404,0.97848105,Kepler,5919.388426019492
81471,81471,81471,2051371492629688192,False,0.048,5743.1,4.359,17.47,0.9042835,4.791466282848692,0.9624966,Kepler,5524.483659097006
81472,81472,81472,2051374962963038464,True,0.074,5277.2,4.515,30.17,0.98132133,5.402328014046251,0.9330234,Kepler,5312.845291244405
81473,81473,81473,2051381078996539008,False,-0.367,5793.4,4.456,19.09,0.8044882,4.8324080971446435,1.0743494,Kepler,5821.297318814193
81474,81474,81474,2051383278020797056,False,-0.182,5507.4,4.379,21.79,0.9497547,4.6428374434243995,1.0748411,Kepler,5397.676548832275
81475,81475,81475,2051384235790660992,False,0.276,6081.8,4.182,10.48,0.79958534,3.5276814826012544,0.9459509,Kepler,5836.514101023655
81476,81476,81476,2051385030366607360,False,0.074,5705.0,3.739,1.823,0.851305,1.8296153782561877,1.3015989,Kepler,5678.9494159593805
81477,81477,81477,2051386576554692096,False,0.178,6024.5,4.24,6.86,0.7989197,3.8056475154207607,1.0081733,Kepler,5838.5844789729745
81531,81531,81531,2051626957287059968,False,0.017,6047.4,4.12,9.84,0.7704201,3.558053406288664,0.99488384,Kepler,5928.219323588574
81536,81536,81536,2051632764082866048,False,0.086,6387.2,4.147,2.49,0.7164345,3.448317030056101,0.99828255,Kepler,6103.18873004265
81537,81537,81537,2051632901521808640,False,-0.136,5363.7,4.529,29.99,0.95571136,5.486285614210004,1.0496764,Kepler,5381.466707806951
81538,81538,81538,2051635066185382656,False,0.068,5023.9,4.539,16.488,1.1303082,5.220312093118157,1.0098996,Kepler,4948.558639149627
81541,81541,81541,2051651146543461120,False,0.095,6343.8,4.238,2.12,0.63910294,3.216342942437789,0.87453353,Kepler,6365.024128978743
81543,81543,81543,2051657846692658176,False,0.09,5104.4,4.557,10.32,1.112256,5.950998149340979,1.0066205,Kepler,4989.509301797696
81544,81544,81544,2051658259009408896,False,0.107,5043.2,4.529,9.772,1.1210871,5.896325474669501,1.0645937,Kepler,4969.366651033349
81545,81545,81545,2051659186722369664,False,-0.247,5694.9,4.479,16.99,0.8253536,4.918265071361807,1.0295429,Kepler,5757.190149713811
81546,81546,81546,2051659358522218240,False,0.079,5810.1,3.966,8.55,1.0156384,3.648732839859864,0.9704629,Kepler,5223.636289636694
81547,81547,81547,2051660217514564992,False,-0.233,6225.7,3.267,3.386,0.7197771,1.3535901775339028,1.0138642,Kepler,6092.163296838169
81548,81548,81548,2051660973428837760,False,0.129,4956.2,4.539,31.06,1.1465683,5.991435411545838,0.9607663,Kepler,4912.423594077241
81549,81549,81549,2051661518883516160,False,-0.094,6260.9,4.262,5.33,0.7359762,3.817121973092762,1.0528158,Kepler,6039.086062093121
81550,81550,81550,2051661621962739584,False,0.185,6063.7,4.033,7.22,0.8222065,3.3018858577344403,1.0337417,Kepler,5766.791340902711
81551,81551,81551,2051661690682227200,False,0.199,5985.0,4.123,21.95,0.83100796,3.559631914517194,1.048774,Kepler,5740.000906054833
81552,81552,81552,2051662961989408384,False,-0.148,5482.7,4.492,21.52,0.9228773,5.192397337067625,0.9980912,Kepler,5471.9783149946115
81553,81553,81553,2051664508177693952,False,-0.003,5117.9,4.559,9.049,1.0981636,5.986134836352434,0.946765,Kepler,5022.087991497065
81554,81554,81554,2051666432326307712,False,0.024,5526.6,4.48,21.93,0.8983717,5.0326556432856755,0.87232554,Kepler,5541.364945871363
81555,81555,81555,2051667325679376768,False,-0.029,6131.3,4.31,1.73,0.68845654,3.99126537790746,1.0024236,Kepler,6196.439282002
81556,81556,81556,2051668115953404032,False,0.316,5912.5,4.098,13.14,0.868947,3.559881847750873,0.9018973,Kepler,5626.72039614214
81557,81557,81557,2051668429492123904,False,0.124,5037.4,4.533,13.52,1.1066341,5.834499936029406,1.0003182,Kepler,5002.441707290638
81558,81558,81558,2051669494644119936,False,-0.043,6024.8,4.345,9.27,0.8169861,4.463247893602073,1.0340506,Kepler,5782.7712157003625
81566,81566,81566,2051695470602017280,True,-0.026,4195.6,4.611,31.496,1.7292471,7.568521592130903,0.9951931,Kepler,4029.9173002341304
81567,81567,81567,2051696157796813312,False,-0.073,6294.1,4.227,4.34,0.61935997,3.435761355020535,0.93791765,Kepler,6433.873172871803
81568,81568,81568,2051697287365993472,False,0.239,5613.9,3.901,20.21,0.9620886,3.4544066338198665,1.0429786,Kepler,5364.216304976455
81570,81570,81570,2051698975295406208,False,0.074,5202.1,4.518,27.81,1.0332918,5.549463821988537,0.9214772,Kepler,5178.97682087011
81571,81571,81571,2051699937368191744,False,0.019,5068.0,4.549,27.257,1.0931597,5.866580417042588,0.9340822,Kepler,5033.784950603356
81573,81573,81573,2051700762001969920,False,0.108,5257.8,4.512,19.66,1.0073576,5.4153998897797475,0.9736227,Kepler,5244.873779827009
81574,81574,81574,2051700796361622912,False,0.013,4845.7,4.574,10.002,1.2687721,6.457906011067209,0.9575617,Kepler,4663.269347854405
81575,81575,81575,2051704021876984960,False,0.095,5078.0,4.487,12.61,1.0900049,5.570382443809596,1.179327,Kepler,5041.194274755012
81576,81576,81576,2051704232335480320,True,0.003,6178.8,4.004,8.56,0.67837715,2.6596300207573194,0.9155678,Kepler,6230.450775892646
81578,81578,81578,2051704953890021504,True,0.045,5668.8,4.464,10.3,0.8365774,4.795827937321421,1.0560194,Kepler,5723.146855275666
81581,81581,81581,2051712616112104704,False,0.173,6096.6,4.091,5.68,0.78401375,3.2181635951695036,1.0256582,Kepler,5885.225092374162
81584,81584,81584,2051713848758510976,True,0.318,5830.6,4.191,19.78,0.81414986,3.923861554882506,0.9727036,Kepler,5791.480949934019
81588,81588,81588,2051719247542076672,False,0.07,5555.2,4.164,9.56,0.96967316,4.169850580076089,0.97127473,Kepler,5343.840405217247
81589,81589,81589,2051719522419750656,False,-0.065,5113.8,4.508,2.96,1.047226,5.388555863663392,0.92609197,Kepler,5144.319215637543
81591,81591,81591,2051722614796443136,False,-0.186,5992.1,3.988,2.4,0.8625784,3.1387885302932315,0.992107,Kepler,5645.484234705646
81592,81592,81592,2051723057169052544,False,-0.051,5066.3,4.509,10.61,1.0433769,5.066190120950544,0.8946084,Kepler,5153.840460408434
81593,81593,81593,2051724092264677248,False,0.312,4796.4,4.566,32.071,1.2978439,6.319344880821994,0.98627293,Kepler,4609.684270220547
81594,81594,81594,2051726050769850880,False,0.076,5551.8,4.481,22.24,0.9052887,5.032728242706625,0.94398516,Kepler,5521.62225744701
81595,81595,81595,2051726669245244288,False,0.189,5812.2,4.17,10.81,0.86434555,3.852892939026427,1.2164088,Kepler,5640.267408722841
81596,81596,81596,2051727700037371264,False,0.03,5552.2,4.494,9.3,0.8966789,5.145461253634844,0.9147943,Kepler,5546.215360735122
81597,81597,81597,2051728077994513920,False,-0.202,5648.8,4.49,19.36,0.84539795,5.053294545716767,0.9491475,Kepler,5696.611597523415
81598,81598,81598,2051728211129762432,False,-0.006,5541.8,4.485,8.56,0.9000788,5.088784141731026,1.037177,Kepler,5536.481028250996
81599,81599,81599,2051728249793250048,False,-0.004,5180.0,4.54,10.37,1.0353222,5.708553193515524,1.0082014,Kepler,5173.89414853131
81600,81600,81600,2051729551161282944,False,-0.158,6150.1,3.822,6.96,0.6879616,2.2141454278854305,0.94134146,Kepler,6198.104285034822
81601,81601,81601,2051729624182562304,True,0.058,5757.0,4.404,15.84,0.81288815,4.624467583897832,0.82343805,Kepler,5795.361794447577
81602,81602,81602,2051729624182564608,True,0.008,3626.1,4.67,49.76,2.4490023,9.565729657209786,1.1500341,Kepler,3493.8416226708387
81603,81603,81603,2051730345737134592,False,-0.042,4749.1,4.586,15.42,1.2691574,6.567870545204915,0.9952298,Kepler,4662.5451880392375
81604,81604,81604,2051731685766983296,False,0.326,5742.6,4.366,22.11,1.0299034,4.773729651573996,0.9416464,Kepler,5187.483699645162
81605,81605,81605,2051733468182656896,False,0.316,5397.7,3.797,0.99,1.0527563,3.382833102109675,0.99983174,Kepler,5130.709321560749
81606,81606,81606,2051733472473635584,False,-0.177,5308.8,4.522,22.74,0.96799755,5.535900106838371,1.0075026,Kepler,5348.328790445309
81607,81607,81607,2051735018661933696,False,-0.079,5602.7,4.517,13.52,0.9597893,5.28741270175048,1.0423466,Kepler,5370.423491931671
81608,81608,81608,2051735083077633920,False,-0.051,6185.3,4.281,6.01,0.7334032,3.926891425081214,0.96598893,Kepler,6047.477110632532
81609,81609,81609,2051736152533321472,False,-0.218,5129.4,3.428,114.67,1.149909,2.691318336900043,1.069219,Kepler,4905.087360984155
81610,81610,81610,2051737286404500352,False,0.066,6342.1,4.032,1.77,0.8207531,2.994321778411111,1.1542823,Kepler,5771.233571358209
81611,81611,81611,2051738385916125184,False,-0.143,6070.8,4.133,8.66,0.7527075,3.496178119623986,0.95860237,Kepler,5984.890183124697
81612,81612,81612,2051738626434571776,False,0.144,5801.2,4.068,6.53,0.91528034,3.8414228041619527,1.0034136,Kepler,5493.3222495958225
81613,81613,81613,2051738798233021824,True,0.064,6128.7,4.04,10.95,0.8610468,3.0593922821087816,1.0380497,Kepler,5650.012056400643
81614,81614,81614,2051740310061728384,False,0.131,6214.0,4.222,5.2,0.7773838,3.640776709041866,1.0025864,Kepler,5906.139961949375
81615,81615,81615,2051741306494116864,False,0.145,4717.2,4.568,27.04,1.3065853,6.50554327197592,1.0423914,Kepler,4593.986548708
81616,81616,81616,2051741714507704832,False,-0.099,5977.2,3.876,23.82,0.80332375,2.791035341933764,0.92719024,Kepler,5824.906122827323
81619,81619,81619,2051744433230856192,False,-0.035,5849.4,4.409,13.15,0.7933092,4.675560953838906,1.0291814,Kepler,5856.0773888954955
81620,81620,81620,2051745257864507008,False,0.058,6063.0,4.258,17.4,0.7667656,3.836179513578644,1.1383939,Kepler,5939.851944465172
81621,81621,81621,2051745464022994560,True,0.128,4931.9,4.559,28.315,1.1863985,6.113328449386657,1.0528083,Kepler,4826.896659337432
81622,81622,81622,2051745773260663296,False,-0.019,6101.3,4.153,6.17,0.76341724,3.501418709361376,0.98144966,Kepler,5950.5374883915365
81623,81623,81623,2051748590759138944,False,-0.116,5288.3,4.487,12.1,0.9625349,4.817750156298207,1.1179557,Kepler,5363.013097042061
81624,81624,81624,2051748728198135040,True,0.073,4612.6,4.59,22.189,1.3945789,6.798350200308395,0.9532927,Kepler,4446.294571690434
81625,81625,81625,2051749106155272704,False,-0.085,5993.3,4.322,8.85,0.76121426,4.281895106728918,0.973878,Kepler,5957.5820557305215
81626,81626,81626,2051749793349996160,False,0.171,5500.0,4.473,26.08,0.913682,5.0523754440118385,1.0109978,Kepler,5497.831949378624
81627,81627,81627,2051751064660477312,False,-0.101,6155.1,4.071,9.01,0.8179102,3.3424788477213827,0.98281604,Kepler,5779.93765628785
81628,81628,81628,2051753160604612224,False,-0.222,6103.2,4.146,23.86,0.71356773,3.772242744136493,0.93722266,Kepler,6112.664459434875
81629,81629,81629,2051753504201995392,False,-0.185,4385.5,4.551,10.653,1.4845018,6.821349933275101,1.1526469,Kepler,4313.636219761985
81630,81630,81630,2051757180693942400,False,0.175,5700.3,4.36,16.17,0.8730831,4.5692656012972925,1.0062709,Kepler,5614.58912361291
81631,81631,81631,2051757283773164544,False,0.172,3956.6,4.622,29.62,1.99541,8.07925496334703,1.057085,Kepler,3806.451108734962
81632,81632,81632,2051758452004263936,False,-0.505,5830.0,4.156,1.43,0.76441765,3.897778431349783,0.98007905,Kepler,5947.342163731968
81633,81633,81633,2051758795601678976,False,0.102,6107.8,4.078,5.79,0.9335098,3.232023416237169,1.2782689,Kepler,5442.358678786253
81634,81634,81634,2051758829961425664,True,0.09,6013.4,4.307,12.42,0.74267197,4.075141908941264,0.9192773,Kepler,6017.320367771506
81635,81635,81635,2051758967400403200,False,0.138,6314.4,4.153,3.62,0.9019785,3.612678138645844,0.99429935,Kepler,5531.054921513895
