,Unnamed: 0.1,Unnamed: 0,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Prot,bp_rp,abs_G,ruwe,survey,teff
106424,106424,106424,2132745008166997504,False,-0.349,6389.9,3.949,19.12,0.6046705,2.82528672244586,1.0704211,Kepler,6485.605571256887
106426,106426,106426,2132746794873408256,False,-0.018,4972.0,4.52,16.99,1.1226501,5.45989355961496,1.3555657,Kepler,4965.823528121882
106427,106427,106427,2132746996732195840,False,-0.15,5586.0,3.977,31.05,0.8727522,3.201899271866637,0.99354166,Kepler,5615.558065025492
106428,106428,106428,2132747997464255616,False,0.034,5262.2,4.526,27.99,1.0179138,5.574906518220482,1.0119725,Kepler,5217.83291608503
106429,106429,106429,2132748203622689920,True,-0.129,5913.1,4.394,11.68,0.75021935,4.496737037354581,0.8049953,Kepler,5992.909165223158
106430,106430,106430,2132749406213494400,False,0.019,5690.4,4.432,18.21,0.8295765,4.722842465451233,0.963104,Kepler,5744.345105079192
106431,106431,106431,2132749749810897536,False,-0.311,5675.8,4.188,16.09,0.8334751,3.948715790237887,1.0170835,Kepler,5732.525479158685
106432,106432,106432,2132750643164083456,False,-0.293,6056.3,3.917,4.91,0.7180176,2.950533383561618,1.0145732,Kepler,6097.963834210606
106433,106433,106433,2132750711883558528,False,0.051,6126.9,4.26,4.55,0.71380806,3.821513762752718,0.9879257,Kepler,6111.8693796286825
106434,106434,106434,2132750780603044608,False,-0.031,5835.8,4.381,16.16,0.797101,4.589356428502914,0.9723276,Kepler,5844.246712417427
106436,106436,106436,2132751639596705152,False,-0.154,6334.2,4.188,2.85,0.63347626,3.470548092921634,0.94884026,Kepler,6384.565489555873
106438,106438,106438,2132754594533907712,False,-0.066,5101.0,4.556,28.78,1.0481262,5.816085233607657,0.9977542,Kepler,5142.098225040345
106439,106439,106439,2132756072002692096,False,0.013,5407.8,4.493,16.08,0.93567944,5.249481244045109,0.97805846,Kepler,5436.3509087301445
106440,106440,106440,2132758129287412352,True,-0.152,5398.5,3.483,26.11,0.927865,2.2541314599714823,0.8265424,Kepler,5458.046972687452
106441,106441,106441,2132758442824609792,False,0.046,5712.9,4.179,18.74,0.8341141,3.9877384712490738,1.0158148,Kepler,5730.591760539326
106442,106442,106442,2132758992580607616,False,0.061,5040.8,4.557,13.587,1.1218519,5.971091703853192,0.9221602,Kepler,4967.632124283293
106443,106443,106443,2132759404897472512,False,0.1,5876.4,4.279,15.05,0.77373695,4.225310314576774,0.98010486,Kepler,5917.6885754852
106444,106444,106444,2132759954653301120,False,-0.187,4280.5,4.598,39.696,1.5872097,7.380951989654086,1.0313488,Kepler,4182.23873697274
