,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Unnamed: 0.1,Unnamed: 0,Prot,bp_rp,abs_G,ruwe,survey
5485,2102386117735915392,False,0.106,5443.5,4.493,6239,142844,25.4,0.97252846,5.251552098402941,0.96329963,Kepler
5486,2102386976729391872,False,-0.348,5942.2,4.136,6387,142992,27.0,0.7682972,3.658978766290806,1.0810182,Kepler
5487,2102387904442397440,True,-0.076,4542.0,4.594,20044,156649,26.831,1.4544125,7.021989874466023,1.0478374,Kepler
5488,2102390825019948800,False,0.171,4825.6,4.558,22240,158845,23.926,1.2571363,6.263643281451412,0.9939189,Kepler
5489,2102393642518591104,False,-0.068,6063.1,4.176,6386,142991,7.29,0.74196243,3.282863048922671,0.9900812,Kepler
5490,2102398521601451776,False,-0.058,4870.1,4.573,22258,158863,22.811,1.2328672,6.303105222544868,1.0209945,Kepler
5491,2102398723462571776,True,-0.106,4817.8,4.582,22259,158864,32.786,1.2207489,6.4226938535726035,0.9113368,Kepler
5492,2102402610410316288,False,-0.121,5531.0,4.334,6543,143148,22.27,0.9127817,4.396256553436807,1.0110819,Kepler
5493,2102404392815721728,False,-0.046,5739.1,4.479,6706,143311,5.72,0.8316746,4.852609755310528,0.9207561,Kepler
5494,2102410410070673408,False,-0.047,5204.6,4.536,5895,142500,17.11,1.0353413,5.694341965957165,0.9779346,Kepler
5495,2102412368575741312,True,0.127,5931.0,4.364,6070,142675,11.67,0.77495956,4.394652895956005,0.85525423,Kepler
5496,2102414636318532096,False,-0.28,5408.3,4.429,6233,142838,20.63,1.0377684,4.866890446011281,1.0619055,Kepler
5497,2102416835341839232,False,-0.079,5771.8,4.311,6236,142841,10.9,0.9347801,4.348028935172678,0.98986435,Kepler
5498,2102416934123892992,False,-0.166,5901.0,4.371,6072,142677,19.37,0.765975,4.1718450593326395,0.9567541,Kepler
5499,2102417316378150272,False,-0.368,5979.9,4.009,6234,142839,3.7,0.78319645,3.4530757068420694,0.97162545,Kepler
5500,2102418759487239296,False,-0.185,4990.6,4.417,22257,158862,7.21,1.0773497,5.058184303610702,1.2562822,Kepler
5501,2102419206163811072,True,0.07,4537.8,4.587,20013,156618,42.404,1.4507656,6.805417954568551,1.0764606,Kepler
5502,2102427658659751168,False,0.232,5460.0,4.416,6383,142988,22.43,1.0199213,5.125277563818377,0.9530233,Kepler
5503,2102431472590688128,False,0.174,3961.5,4.63,20027,156632,44.388,1.9932976,7.947348298342895,1.0201247,Kepler
5504,2102435389600919936,False,0.074,5596.5,4.465,6536,143141,19.66,0.8753166,4.9393661532593445,1.0139327,Kepler
5505,2102439718927944448,False,-0.065,4519.0,4.604,20058,156663,21.098,1.4989614,7.091980059397283,1.007423,Kepler
5506,2102446384717365888,False,-0.346,5462.2,4.52,6701,143306,21.52,0.90133,5.4575282224719,1.0116944,Kepler
5507,2102447484228934272,False,-0.08,5703.0,4.373,6697,143302,18.85,0.86098576,4.674435195962928,0.9649126,Kepler
5508,2102448961697719424,False,0.002,6282.1,4.242,6699,143304,3.88,0.6383352,3.4752544250394948,0.9056604,Kepler
5509,2102453084866423168,False,-0.111,5404.0,4.475,6880,143485,20.47,0.97320557,5.268327282782055,1.096443,Kepler
5510,2102453084866428544,False,-0.006,6011.3,4.176,6881,143486,13.13,0.7371988,3.5176745685555435,0.91647005,Kepler
5511,2102453767759753216,False,-0.196,4516.8,4.613,20073,156678,25.531,1.4611235,7.160300036352883,1.0399975,Kepler
5512,2102456658279163648,False,0.032,5499.8,4.478,7026,143631,22.89,0.9131565,5.121501985172248,0.9042649,Kepler
5513,2102456692638911104,False,0.213,5364.3,4.471,7027,143632,20.35,0.9896822,5.207357691074446,0.95668894,Kepler
5514,2102458371964692480,False,0.022,5887.5,4.357,7028,143633,4.43,0.7698374,4.409845847916959,0.8384938,Kepler
5515,2102458960381701760,False,0.154,4925.5,4.576,22361,158966,29.693,1.1847878,5.140640759071934,1.0329896,Kepler
5516,2102459647576516096,False,0.06,6075.7,4.21,7178,143783,2.25,0.7678366,3.7028925562967814,0.9483151,Kepler
5517,2102460059893136768,True,0.111,6008.8,3.926,6696,143301,11.34,0.7373562,2.6287367757728113,0.91148967,Kepler
5518,2102461228124235008,False,0.049,6077.2,4.326,6876,143481,9.23,0.75116634,4.190612071084784,0.91160697,Kepler
5519,2102462224556698240,False,0.229,5689.4,4.172,6877,143482,12.77,0.88168716,3.9988892791289743,0.977827,Kepler
5520,2102465729249955712,False,-0.13,5465.6,4.484,7019,143624,7.09,0.912817,5.202162749528098,1.10571,Kepler
5521,2102473460191210368,False,0.389,5685.8,4.139,7337,143942,24.72,0.8568773,3.891606401407376,1.0736899,Kepler
5522,2102475487415811072,False,-0.096,6294.1,3.854,22380,158985,4.078,0.6019926,2.359766856264254,1.0499537,Kepler
5523,2102478442352317952,False,-0.081,4115.5,4.627,20029,156634,24.937,1.7749567,7.667787725667115,0.96168816,Kepler
5524,2102483321435161984,False,0.11,5300.3,4.467,6715,143320,11.85,1.0039349,4.730647046319714,0.9743516,Kepler
5525,2102486203356539904,False,0.071,5520.8,4.467,6717,143322,23.59,0.8876343,5.019068885649185,0.93806005,Kepler
5526,2102486723049369856,False,-0.041,6041.8,4.157,6718,143323,16.28,0.77922535,3.4525106970687656,1.0898907,Kepler
5527,2102494660149352576,True,0.111,6083.2,4.037,7184,143789,13.44,0.73271275,2.927253803958335,0.91771346,Kepler
5528,2102495209904628096,False,-0.13,6015.3,4.115,6713,143318,9.82,0.75525284,3.531784555543309,0.95268106,Kepler
5529,2102500054628057216,False,-0.076,5783.4,4.392,7032,143637,8.97,0.7973881,4.5790584976230715,1.3245429,Kepler
5530,2102501360298086400,False,0.131,5502.6,4.466,7030,143635,25.58,0.9112177,5.02010736504546,1.0308125,Kepler
5531,2102505827064253184,False,0.146,5131.5,4.558,7183,143788,22.27,1.1039515,5.847546048924613,0.968013,Kepler
5532,2102506136301941376,True,-0.319,4244.0,4.621,20105,156710,21.785,1.6181259,7.643560343367355,1.0634096,Kepler
5533,2102510603067879168,False,-0.507,5338.4,3.439,7341,143946,56.37,1.0045834,2.428306339692135,1.0384742,Kepler
5534,2102514623156990336,False,-0.232,4976.2,4.477,22363,158968,14.966,1.1522322,5.697544006219573,0.9942532,Kepler
5535,2102516787821043328,False,0.094,4075.6,4.583,20123,156728,40.656,1.871089,7.833517891761147,1.0540835,Kepler
5536,2102516993978906496,False,-0.161,5275.9,4.479,7185,143790,25.41,0.9747658,4.861428462534279,1.0679511,Kepler
5537,2102517749893621248,False,-0.126,4531.6,4.486,22362,158967,7.805,1.3475246,6.066708095097752,0.9537426,Kepler
5538,2102519193002673664,False,-0.167,4186.0,4.624,20122,156727,12.528,1.7027016,7.70267315466787,1.1083088,Kepler
5539,2102519433520841344,False,-0.452,4042.7,4.675,20121,156726,32.497,1.8055525,8.064009489261949,1.275519,Kepler
5540,2102521254587009792,False,0.03,3861.9,4.64,20129,156734,19.413,2.1123075,8.635451173891163,0.99892694,Kepler
5541,2102522177998870528,True,0.156,6028.2,4.146,7515,144120,9.88,0.72918415,3.493302816507917,0.97367066,Kepler
5542,2102522354098729088,False,-0.152,5331.0,4.523,7513,144118,28.18,0.9975929,5.472410516906272,1.0279346,Kepler
5543,2102522354098729600,False,-0.091,6132.0,3.938,7514,144119,6.19,0.70696163,2.6156371891709593,1.1059164,Kepler
5544,2102523213092192640,False,-0.023,5291.6,4.524,7512,144117,15.97,1.0047207,5.643746125085594,1.0362248,Kepler
5545,2102523247451905280,False,0.048,4913.6,4.553,22410,159015,21.483,1.1553516,6.0851388057187705,1.0185449,Kepler
5546,2102523689827352320,False,-0.333,5946.4,3.754,7517,144122,14.62,0.7700367,2.7233842728774817,0.9967453,Kepler
5547,2102524896719380736,False,-0.111,4375.0,4.598,20149,156754,34.269,1.5790472,7.185739744085112,1.1725646,Kepler
5548,2102525549554441600,False,0.098,5557.2,4.467,7681,144286,21.19,0.8908453,5.020187389079982,0.9768411,Kepler
5549,2102525893151747968,True,0.058,6045.8,3.857,22409,159014,6.243,0.7541752,2.2657979393401124,0.87781143,Kepler
5550,2102527164462028800,False,0.247,5382.4,4.33,7675,144280,28.74,1.0100517,4.2820645776850075,0.97096586,Kepler
5551,2102527469400446464,False,-0.186,5303.4,4.504,7677,144282,13.22,0.97436047,5.363422761234135,0.9676081,Kepler
5552,2102528470132197120,False,-0.223,5905.9,4.006,22433,159038,2.936,0.81355,3.0490186882644927,0.9657044,Kepler
5553,2102528641930901504,False,-0.203,5252.2,4.472,7846,144451,24.37,0.97621155,4.853312915619675,1.1306907,Kepler
5554,2102530978392882944,False,0.122,5006.6,4.538,7509,144114,27.8,1.1404943,5.948441629127213,0.92658263,Kepler
5555,2102533005617529600,False,-0.038,5347.9,4.526,7510,144115,13.88,0.97124004,5.569051884395803,0.9989147,Kepler
5556,2102533761531704448,False,-0.087,6074.2,4.215,7672,144277,24.5,0.8000984,3.7860328944604262,1.0164644,Kepler
5557,2102535204640692352,False,0.086,5724.1,4.377,7505,144110,8.97,0.82033634,4.588774095972118,1.0003606,Kepler
5558,2102536956987396608,False,-0.08,4111.7,4.624,20148,156753,14.231,1.783597,7.836462854023363,1.0195235,Kepler
5559,2102537987779948032,False,-0.165,4938.9,4.58,22451,159056,14.894,1.1454668,5.381189189885198,1.0827228,Kepler
5560,2102541286314585216,False,0.024,5730.9,4.193,7843,144448,3.67,0.85062885,3.9316282508573295,1.0010338,Kepler
5561,2102541492472989312,False,0.117,5088.3,4.536,7842,144447,21.51,1.0997276,5.8329663099008595,1.0122,Kepler
5562,2102542351466453248,False,0.03,5465.7,4.461,7841,144446,16.99,0.93241596,4.961329780541908,1.0015876,Kepler
5563,2102546680793452288,False,0.284,5983.5,4.192,7989,144594,10.61,0.76008034,3.4382508894793116,0.97261,Kepler
5564,2102548020822748288,False,0.048,5418.8,4.516,7029,143634,16.17,0.93292904,5.247563182268156,0.9837102,Kepler
5565,2102556404598997632,False,-0.12,5540.9,4.504,7503,144108,24.85,0.91186714,5.259213190561752,1.0408908,Kepler
5566,2102561214962398080,False,-1.158,5352.0,2.37,22408,159013,0.626,0.953434,0.8643220284931541,1.0044663,Kepler
5567,2102563723223405184,False,0.075,5676.6,3.746,7665,144270,26.25,0.8934736,2.324135491264826,1.1035398,Kepler
5568,2102563791942900608,False,0.038,5665.8,4.421,7666,144271,17.47,0.8882551,4.8957092299625895,0.9685954,Kepler
5569,2102569633098813696,False,-0.033,4218.3,4.596,20146,156751,15.223,1.6744394,7.6147401691456835,0.9348979,Kepler
