,Unnamed: 0,Prot,bp_rp,abs_G,source_id,ruwe,survey
22015,158620,65.222,1.0950527,2.6712103266557445,2076657580011933312,1.0669131,Kepler
22016,158621,24.955,1.3349943,6.51149445200879,2076658748243129472,1.0385914,Kepler
22018,158623,10.718,1.2355604,6.212060348167334,2076802715548378624,1.023772,Kepler
22020,158625,8.951,0.8686104,4.795305143106411,2073842452293535488,1.055536,Kepler
22021,158626,1.522,0.5992403,2.7858392827335443,2073799674417736320,0.92641467,Kepler
22022,158627,29.461,1.0899897,6.228419503413285,2073798368747457536,0.92101324,Kepler
22023,158628,19.892,1.3347406,6.7194750196087725,2073819706145513984,0.9523712,Kepler
22024,158629,4.397,0.6702976,2.8801137612532735,2073807714596833280,0.9121772,Kepler
22025,158630,3.872,0.7679024,1.9508477913715152,2073805000177741056,0.99973965,Kepler
22026,158631,10.819,1.1003389,5.835471256000732,2073811425448903936,0.94855076,Kepler
22027,158632,5.2,1.0294113,4.650540592950646,2073620557111543168,0.9491979,Kepler
22028,158633,28.597,1.1011896,5.232819609269523,2075122008955576576,1.003401,Kepler
22029,158634,0.742,0.797328,3.1082178120567043,2075110906448646400,1.0006719,Kepler
22030,158635,19.353,0.8960314,3.144922065655011,2075065384105042944,0.9552392,Kepler
22031,158636,29.863,1.285428,5.693353794460677,2075063902323520640,1.0121306,Kepler
22032,158637,30.523,1.1086502,5.853821592646119,2075075004832288384,1.0046252,Kepler
22033,158638,29.741,1.2137861,6.686622296690228,2104353487633486720,1.0782565,Kepler
22035,158640,27.289,1.1625795,5.3824203692334684,2103462367819931008,1.2765747,Kepler
22036,158641,8.232,0.86471176,3.1240012019675163,2103778408693713408,0.8944292,Kepler
22037,158642,8.761,1.1867714,5.829555660675348,2100646278024735360,1.0855869,Kepler
22038,158643,2.73,0.6801653,1.91763424789057,2102112712999738368,1.0073133,Kepler
22040,158645,32.577,1.2229815,6.278437794395373,2101441877766998016,1.0054523,Kepler
22041,158646,17.649,0.8630247,2.2452392879961476,2101432394479455360,0.9979513,Kepler
22042,158647,30.599,1.2374134,6.355079727963076,2101575777668694912,1.034946,Kepler
22044,158649,9.935,0.6937561,2.766611343505474,2053542993734351360,1.2844262,Kepler
22045,158650,11.028,1.0935974,5.921426546263092,2053549071107386368,0.9707486,Kepler
22046,158651,40.633,1.2605019,4.982169939378956,2076671117749093120,1.0579292,Kepler
22047,158652,19.698,0.8362627,4.561704352697284,2076665585831116032,1.0049547,Kepler
22048,158653,11.974,1.2169285,6.111802374130786,2076662317351899392,1.1387329,Kepler
22049,158654,10.182,1.201088,6.234677958476137,2076801203719856640,1.0089524,Kepler
22050,158655,16.6,0.7647238,3.148085026298922,2076779969400652672,1.2353528,Kepler
22051,158656,1.665,0.66477966,3.065073576620875,2076766186842199424,1.0282997,Kepler
22052,158657,9.939,0.8257532,4.358423031874519,2076767217634353280,1.0990242,Kepler
22053,158658,6.186,0.9347305,3.928446560313434,2073859666522342784,1.0120023,Kepler
22054,158659,18.007,1.1991777,5.980228494525225,2073821973888375296,1.3231454,Kepler
22055,158660,1.728,0.6902847,1.937843631364924,2073809329492976896,0.8564819,Kepler
22056,158661,5.282,0.9598837,4.6090105874528895,2073626089029372544,0.9790495,Kepler
22057,158662,5.801,0.7787819,1.519273162316324,2073625745432010240,0.91756743,Kepler
22058,158663,10.288,0.91744804,4.94853310238091,2075123658223099264,0.9336121,Kepler
